ones,euclidean,minkowski1,minkowski3,cityblock,cosine,chebyshev,mahalanobis,geodistance,wind
39196.32806002926,39216.98258775379,39205.074910406904,39190.66775282242,39201.46820441576,39207.737732620764,39218.0119778864,39209.374028909486,39236.25285384275,Bearkat I
94659.7486434678,94557.20612302037,94617.14760193223,94670.74046752008,94595.41443723369,94645.20843808737,94612.46074941204,94619.10194814876,94605.22006924156,Bethel
129035.85511181755,129018.34121092698,128971.09355503511,129062.6286123909,128985.73446860573,129017.54295470116,129054.4485917728,129073.06900779142,128975.2254326497,Big Sampson Wind
1428.6967888915137,1429.7962653880563,1430.1656836000955,1429.5408279809112,1430.058332449101,1429.9830478355907,1429.462851658927,1429.7702942157675,1427.9979382822403,Big Spring Wind Farm
40977.10186740443,40993.52303144009,40977.853082762755,41005.14101607731,40979.93086860952,40978.4288544033,40950.49265986472,40972.156350034216,40992.19036229889,Black Jack Creek Wind
68366.83922660133,68403.11483910754,68357.90887115707,68364.85352948829,68385.68200360658,68390.75041727908,68373.67609519421,68382.69249208308,68349.19369381142,Blanco Canyon Wind
18873.027672713877,18881.849362959016,18872.471724479332,18889.50788701569,18890.751390040274,18882.274563891737,18877.72746537715,18889.21769013103,18876.287890319618,Blue Summit
11300.357009235102,11297.179210371634,11299.818024797907,11301.960031014924,11298.86670752628,11300.42448392408,11298.497244829048,11304.591975956091,11304.080251616655,Blue Summit II
43909.98727541285,43931.54518977473,43954.4424018019,43935.31521359504,43934.3826655455,43892.40161048933,43941.04122755431,43930.39143693445,43944.63754292813,Blue Summit Wind III
105.20568387724667,105.29469259281328,105.24745360689367,105.20975069029977,105.23482982326706,105.1616804131517,105.20329363240734,105.2091618440665,105.27519428569917,Blue Summit repower
20660.831060533677,20661.979172674655,20668.62956981297,20661.31316055411,20663.02693382254,20659.68446649312,20657.416361388016,20658.180540434376,20663.435971015373,Bobcat Bluff
125.9610079182616,125.82811889097697,125.88118147180045,125.88136903823083,125.93946125438364,125.79418277884142,125.85873914762296,125.84250272580896,125.89570692287532,Bobcat Bluff repower
50498.76289778731,50475.97843520198,50487.678403428545,50490.97659872739,50486.76206307651,50495.94292372812,50460.31801643395,50508.18955495078,50467.80118897617,Brazos Wind Ranch
26209.457729808346,26194.74922278956,26214.81117062889,26219.40469415907,26215.134618918604,26217.248270982676,26223.666286274813,26210.454803918707,26193.387969449228,Briscoe
56610.35702471987,56621.40540530549,56582.052424037865,56644.1290085221,56648.828571794664,56601.520305131926,56600.33427597963,56628.33429176658,56633.190654221326,Broadview Energy JN LLC
30184.60406728031,30197.14602180175,30185.79023149155,30191.021185591493,30182.22010795636,30192.177035140685,30193.53982344061,30200.144133077138,30201.467275502924,Bruenning's Breeze
7470.641460473915,7472.10707421253,7468.376735483119,7469.749271708312,7470.379533482103,7464.887268059522,7467.766280705126,7471.553923115734,7465.23472188231,Buckthorn
37246.05192760683,37290.826431158945,37278.770764633155,37292.83515383819,37281.14038488625,37253.24880801808,37265.236756586644,37266.9091411931,37273.194166197405,Buenos Aires 1 Wind
42383.71120033574,42414.31884887,42427.59466056299,42395.6659813557,42402.87874380655,42398.72188486911,42394.487340961954,42382.942933032544,42389.41578964846,Buenos Aires 2 W
27979.253139125547,27978.791721094472,27990.14814483869,27970.283138591312,27979.66510025227,27974.74269520424,27980.228575133176,27976.23032181969,27977.16362330111,Buffalo Gap 4
