ones,euclidean,minkowski1,minkowski3,cityblock,cosine,chebyshev,mahalanobis,geodistance,solar
110532.32069676979,110423.22819339558,110569.18590442796,110425.07433681526,110548.35241734725,99795.98757148864,110472.8775927806,110510.79427265371,110371.40510852415,Danciger Solar
113171.83473681488,113367.60257004872,113152.45121490261,113052.85952134767,113293.94777849868,109031.70667375032,113245.76491623017,113270.33490175154,113335.55122361798,Danish Fields II
97117.40126156087,97206.33225889265,97156.12163945287,97279.50626278679,97310.51541463897,88834.51814345036,97202.1939606248,97137.91268398921,97238.56275101047,Danish Fields III
115385.41783147174,115426.85898016785,115352.65256533948,115334.8238492398,115453.76077780187,107490.9960157485,115434.1216154527,115412.70446707663,115419.51596488713,Danish Fields Solar
965646.029838087,965016.089574595,966065.13415242,966624.8947325292,965778.0445243508,876525.5471689107,966419.4967685661,966365.7355898765,966171.8736764225,Dawn Solar
1620603.4715001557,1617625.6271639953,1620642.9449006722,1618472.3011415284,1619213.2317696367,1491942.3238516538,1618939.5657084452,1618244.470025829,1618964.8948247354,Delilah Solar 1
863661.7979232277,864820.151214644,863251.6924770183,863728.856268564,862904.8053689016,797463.3684198435,862845.6017849478,864242.7820992138,864143.934150223,Delilah Solar 2
501252.770788751,501734.8876036089,502125.8406839949,501860.22959203325,501690.03501861205,459164.7648175319,501337.5355576329,502072.49662349164,501984.2364902666,Delilah Solar 3
139357.58611642613,139252.23354516152,139255.38826954487,139163.7372443441,139186.48064929264,118392.76943149943,139066.37059732308,139132.94089651134,139314.8151089937,Desert Rose
368272.18857180554,368335.34720865433,368359.8122224028,368786.33486462414,368504.60307532956,369422.2956923301,368589.9647235006,368241.72764669504,368166.8132946904,Dexter Solar
113199.06211194339,113297.24183192773,113235.31662450562,113305.44695090727,113238.26070585274,128677.35624309393,113329.72892762354,113172.69609981905,113126.32657289054,Diamondback Solar
238360.23453071585,238464.99069028164,238587.04739290918,238302.68557048912,238574.52419353212,225458.0274502406,238235.40589782214,238711.7054350444,238498.26259176387,Double R Solar
26125.534446408335,26160.99211047692,26114.80810724443,26136.18936739031,26131.528847074074,26977.923558699124,26116.084270044823,26157.83925512591,26130.780080232333,Dove Run
32889.54883658322,32879.45370236397,32858.0578185491,32889.89617140947,32897.5512694653,31583.432947789846,32850.73629233797,32936.299278486076,32879.15634118625,EK Tipton Solar
137094.42136306842,137096.1210261104,137206.80736084908,137315.61086704346,137332.5935322952,142468.10040555563,137240.712037559,137182.9097986165,137166.57241320732,El Zorro Solar
115207.39385367255,115140.43094103994,115154.73596447926,115127.5035757703,115249.34427195638,124306.37253264466,115169.98615214789,115047.53230086635,115246.24678480976,Elara Solar
343718.2369729286,343260.2963745741,343334.73036438995,343120.47707575525,343551.3326480171,310426.50200228725,343418.1619752587,343111.7880826818,343223.91834974434,Elrond
40875.52747304475,40898.606781003466,40906.61579062966,40905.974354759725,40862.16182220729,40958.89595818438,40859.27929615164,40888.63099592129,40897.69367364233,Emerald Grove Solar
487253.1263541882,486959.7793640106,486759.2450331865,487435.3032936516,486833.9534005095,398733.0687236832,487064.5550694438,486713.8353503228,487046.755813552,Eunice Solar
311047.37103160407,310984.43013715785,311125.19567540695,310854.0065280709,311713.9793201252,275680.3065993035,311421.5538617436,310916.4784585035,310808.5831104568,Fighting Jays Solar
68945.995841202,68868.55836814686,68939.20018276953,68894.77990857785,68971.11826525831,64754.22784262186,68905.54846532019,68921.0908319509,68983.71877992124,Flag City
65716.46896312799,65727.67871313056,65731.97798193578,65762.94529947478,65748.31746407767,57932.01430036272,65741.5879994939,65736.28377214591,65704.00324585769,Flatland Solar
2333.2449371660273,2334.682935185047,2329.661067948025,2332.4442452218964,2333.9807089395276,2404.7746772873234,2332.308443693821,2331.076191648605,2334.9210300880054,Fluorite Solar
166810.07285822957,166748.08226934107,166638.53551286523,166547.39303609164,166776.10364827325,153640.83052850192,166888.42084317023,166631.66430256644,166885.90673414926,Fort Bend Solar
69327.61089148329,69343.60072195146,69307.67391955365,69296.74904168388,69269.12127219667,67376.78806667733,69282.91047568193,69290.09431089585,69308.95522552935,Fowler Ranch
49908.4612111567,49967.2727463238,49888.39639213229,49816.798598327085,49862.711315499706,39562.932905861286,49857.74067471651,49941.091944754924,49951.05022630543,French Goldston Solar
100281.43955093958,100280.9468980627,100126.37970330188,100246.06412417181,100312.3713322809,111102.75730671034,100276.03599049666,100193.77801656193,100223.61047399165,Fronton Solar
913724.6435676501,914609.8199578455,915076.5401398313,913952.3310871501,914117.9727165278,733908.8313752385,914687.2999314459,914011.8451358192,914720.0026941337,Frye Solar
65900.77881333018,66020.35464441523,65918.62411916265,65982.91962948414,65991.33220596628,63126.381642125605,65942.25544507943,66025.21882466247,66043.40696828565,GSE Eleven
372046.8127419382,371665.0626189375,371545.947555318,371717.09927991696,372133.7992850292,391567.3094319117,371599.20298739645,371493.5319908001,371491.0672280837,Galloway Solar
1052.7912767625298,1052.83824744658,1052.969527282753,1052.4905923996278,1052.8836821401474,1155.9769195129752,1052.5208531433764,1053.7744722436785,1053.0981693301324,Garnet Solar
63296.37046353713,63262.84503086123,63206.11769282547,63259.52889663068,63226.14230099306,54698.69609683457,63243.83858559248,63224.547657136056,63239.54350101856,Gold Creek Solar
134565.9875193487,134461.06339374738,134467.78353610358,134487.99015959338,134635.67370573425,114850.21991104538,134290.03417614696,134451.91896409783,134645.40779253741,Goodranch Solar
8999.473482838064,9002.915704091029,8999.016621033294,8995.851166882932,8998.601732126333,9026.167306246403,9013.698851103265,9004.379559128805,8999.265114399668,Greasewood II
142602.17501206076,142467.03085980844,142621.99036504448,142359.18971646886,142466.17993028584,144476.33185692946,142637.57979766026,142598.92586057278,142544.81506634984,Greasewood Solar
587614.5804947075,587616.7632140048,588942.582804557,588720.3437089926,588722.5634507932,507624.3844502691,588548.4028588966,588159.4213884984,588976.6719639088,Green Holly Solar
1193482.3365792707,1192804.0443331965,1191848.9918128012,1193552.0204135969,1193595.744955902,1183239.238196749,1192775.9051620406,1191603.054121086,1192969.9908588028,Greyhound Solar
751437.0080348137,751325.1460218253,750659.3629817375,751393.9159792387,750986.5665944158,740193.3708985536,751510.6184079859,750927.9660886462,750876.3601641895,Greyhound Solar 2
237.07432034400054,237.18548162463608,236.79200770302285,237.1759781783466,236.73522496003343,177.88287536642966,237.1493502378084,236.93718239849593,236.8481113711651,HOVEY
57183.490617222036,57176.556613224835,57193.24944966597,57220.57313806381,57203.30684590979,65124.844609547516,57175.38947158635,57074.68780637867,57142.60985319958,Half Moon Solar
6177.902653850165,6182.813420174215,6176.672942414873,6177.5141041525985,6173.8159756320465,5533.4558481130025,6174.182498465559,6180.933410129719,6182.193811155902,Hallmark Solar
4218.303083721769,4212.97820361672,4223.332385768632,4220.479350557333,4221.125513109361,3998.7922063825977,4219.415854977265,4215.727622593233,4217.530594386,Hecate Solar
20406.18005642072,20385.68957306242,20386.020214864726,20376.795612682625,20389.640536693514,22142.18971497523,20391.631093471082,20400.81734994311,20376.933182356108,Hill Solar
29899.261835272508,29930.687278036476,29875.397034570302,29885.332673695943,29877.0621493176,27131.661159759045,29926.774589397442,29944.94560082229,29922.546339445526,Holstein 2 Solar
116812.5260915222,116825.48428250845,116742.86123603204,116761.96320619239,116780.77024305366,110153.67682779128,116760.06263920345,116842.48827763433,116873.70992422484,Holstein Solar
288292.10872317856,287789.9474188473,288213.7154559596,288064.4698736768,288173.44939499197,252058.7403144522,288311.4990443516,288071.1214655857,288288.2512857789,Hopkins
158442.998480229,158604.45594656662,158359.51140605533,158643.98463897395,158591.73556213902,174325.36632512996,158530.7377461628,158472.58086728628,158595.21562393144,Horizon Solar
261159.4769317557,260958.20311562778,261170.76168741466,261192.0393419966,261546.1620886614,259538.34507475825,260874.5775820226,261638.91986097037,261059.16650527323,Horseshoe Bend Solar
19495.30369049946,19507.999873835426,19507.770066091274,19498.052506940377,19520.66536053318,19360.661117119016,19511.72328382174,19519.062136916444,19507.637280390263,Howle Solar
264937.6664626423,265058.32757262693,265171.5388429324,264909.3957739746,265091.7813758027,197151.10868922801,264999.8285223607,264822.0325967949,264903.35112347285,IP Titan
105876.7886989599,105924.8443973583,105962.35968967574,105952.08694381185,105908.96150518677,96129.04913475325,106025.50468098493,105965.34805576198,105948.9897478551,Impact Solar
48280.58461578215,48289.34767792538,48291.631680105886,48234.34099946038,48231.25497074107,42343.6398771451,48246.575605114616,48239.855188744776,48313.02620450304,Indigo Solar
72493.47109603528,72462.2747164644,72443.81111584583,72406.91073782812,72352.84927427453,70421.10385420658,72513.29490121682,72421.90900659066,72423.57164365056,Inverter Field Solar
828998.1359346977,829209.1226758569,828915.8097302862,828456.8070462245,827578.6679705001,727076.6578743467,828225.743544279,828995.2321582561,829385.3814591742,Juno Solar
31045.908367269814,31099.686644222435,31075.366553513686,31073.47863739885,31036.393605194546,30028.459050785987,31029.068863672244,31078.174170935254,31105.435240004812,Kellam Solar
399695.5751652675,399678.0805827219,400034.895100667,399778.00780980993,399686.49389694026,397674.1950955815,399928.72830386827,399882.4644890559,399930.79292632244,King Mountain Solar
135567.96036459593,135507.45404321435,135394.1724193054,135327.43035010135,135608.3533606458,135091.40329045514,135426.06068554107,135420.38920262796,135372.1778055761,Knickerbocker Road Solar
190353.52287010296,190620.32659209552,190455.2363073115,190595.5961625608,190506.7917755328,187760.14241495912,190456.59230744062,190358.07079280374,190625.12513788216,Kochab Solar
31584.247894080207,31579.05680077373,31586.023443848382,31596.444786967957,31584.563429615675,26320.636897207394,31580.22215130709,31548.81830800675,31592.91038522197,Lapetus Solar 2
85003.87849093053,85129.90674461176,85119.15715911234,85034.31056168703,85199.63152727306,82015.07942937256,85005.87440222678,85149.54126226148,85073.63152656863,Lily Solar
179157.60459775457,179031.82656632012,179283.0896537564,179142.74885270375,179469.8398800512,149413.4238450667,179138.8583226241,179218.18110290222,179304.76899652966,Long Draw Solar
24484.61236457268,24473.883754824266,24492.882478422063,24472.196883120007,24494.412222076786,22901.742775923933,24493.767108942513,24477.744326090105,24459.881914453268,Long Point Solar
13194.005631913189,13212.111418634235,13225.747457888354,13217.810879855473,13202.724664367342,13512.8566471534,13214.247343148638,13213.002046106865,13207.708807221843,Longbow Solar
5120.727844119936,5124.250534858436,5119.407457245962,5122.060951257469,5124.79360680986,4541.637758815189,5121.605190688289,5126.451814789482,5124.367595131466,Lueders Solar
337301.29679109604,337428.43273534527,337370.56336716475,337235.7497561026,337681.0649480187,280086.1863360769,337543.0104745008,337566.7753285826,337506.56727125926,Lumina
117384.73888653953,117546.47577599376,117463.89928184319,117470.53595543097,117567.23886047048,121153.9460643925,117599.540901326,117524.03847610249,117571.77980382391,Lunis Creek Solar 1
109475.62110804982,109460.62667210479,109676.93789269679,109558.52528193002,109508.10249545539,119197.88700718436,109562.7512774968,109481.55000689546,109673.42208024199,Lunis Creek Solar 2
117910.48009117311,118023.52812264164,117964.68131001465,117936.18875345596,117964.10500692681,112850.6250552338,117889.3800831597,117953.52550440645,117963.7915354203,M-Bar Solar
162494.7545418682,162439.08553476844,162351.99947575826,162454.895819862,162685.79010380723,159093.9934454396,162346.99038729345,162342.61588305747,162522.1884655707,Maleza Solar
145738.06223108762,145601.46510163878,145451.6632971345,145586.50909293632,145587.03332015334,148518.59989903044,145502.17895319086,145561.03405552963,145586.1000460285,March Road Solar
58227.27032861474,58211.74166785782,58248.01495102658,58320.0906726916,58304.19094847643,65989.6239609355,58291.30331496444,58289.48448971461,58227.72929648118,Markum Solar
141063.95194672543,141085.2848251243,141020.8878969049,140832.98479627125,141019.869328468,135286.6538448316,141013.80535358732,141017.43832528137,141035.69991428725,Mercury Solar
16834.646556623684,16834.25495928481,16834.522015695446,16855.408860558124,16834.485934315566,16683.695723985784,16815.05204156956,16827.13022236864,16825.012662598623,Millhouse Solar
234116.8885900541,234415.9372787996,234177.9331495357,234335.38135642506,234229.05584855107,191399.58060535608,234260.45924982658,234235.74833962033,234266.10381902757,Misae Solar
906475.145042533,907072.3821867221,905960.206640788,907022.9878975842,907013.7312390036,752997.5325968994,907815.6198843934,906930.5898706873,907446.4085281866,Misae Solar II
212735.30391962564,212992.3960381897,212896.84857363536,212915.04563492644,212887.22717438356,205864.5117233125,212881.89116196224,212951.308738774,212928.69545036013,Morada Del Sol Solar
61231.89264089004,61218.86861970996,61250.26799275877,61194.077213333025,61228.208454089385,63949.14531359788,61286.22965519363,61206.329186823845,61306.552924915224,Morrow Lake Solar
8193.833118221508,8201.285940727892,8201.714543899043,8203.283669498565,8190.558596268231,8893.522302122208,8193.755448615577,8191.223499091798,8197.925372858,Morrow Lake Solar II
