ones,euclidean,minkowski1,minkowski3,cityblock,cosine,chebyshev,mahalanobis,geodistance,date
3513551.6488914588,3534747.232818851,3537920.0264769327,3513093.6525330553,3559187.251833166,3579914.685611628,3535860.376493646,3525415.396008196,3543503.6521249358,2020-05-06
2944507.2210197807,2954536.3384042345,2956657.617968301,2937678.242169052,2905290.072509789,3009014.6239400106,2957952.6615130003,2970982.8061361783,2870961.4357776525,2020-05-07
2241865.991753625,2145908.7613455164,2198441.0160474884,2214351.9370308705,2196505.7899334556,2256449.6568651577,2170349.998476455,2190941.2485171366,2223489.3888591863,2020-05-08
7372399.307611797,7377992.235124894,7392455.389389643,7367730.01146234,7273055.594022037,7317167.961944763,7343115.060947512,7360917.050832506,7362083.216809984,2020-05-09
4507082.205515379,4456677.902028054,4442273.30026341,4569388.55606613,4473322.653728683,4561754.452450461,4565720.368637647,4492207.348320518,4480126.966609829,2020-05-10
7981842.494356221,7861022.99754046,7799653.155749156,7982656.316104274,7968536.331166549,7955328.445901078,7886074.040680332,7853822.734106725,7855011.9694070835,2020-05-11
1812429.1854853416,1772139.1873320946,1718721.3125201948,1813135.9992360298,1788884.9456835417,1791466.3168476508,1804280.7671926636,1830667.4330566651,1834388.5080213973,2020-05-12
1056409.5513078568,1047917.9244648836,1032149.7662486804,1047070.4467246223,1059559.1026616641,1001961.4673799551,1078661.780918104,1051861.1243760053,1077882.3227274334,2020-05-13
3005719.2522828924,3024482.993399592,2991807.3551339647,3001564.117175944,3111144.095603845,2944760.7829189734,3005507.3191129356,2983457.83701643,3027221.419177765,2020-05-14
5273133.617979169,5257762.373896062,5257036.9843077315,5208976.515545299,5327205.831426982,5240138.246224182,5213180.053729962,5337328.506811797,5309549.454263996,2020-05-15
1506939.035928888,1503345.6339094692,1450578.4154707184,1482676.126479801,1501346.2832155698,1513711.5707566831,1471411.5978501798,1463390.474844835,1475114.7679654812,2020-05-16
803234.0119703547,808541.915596256,778440.5097323196,800196.3293320802,798436.5162110832,829095.5221569627,836402.5983703847,830907.5994910598,799827.1665807475,2020-05-17
1551910.6886613301,1509434.1185887374,1561351.0913388953,1565991.7724468294,1561367.86131217,1531986.822542403,1536721.1257477899,1525539.3157457444,1543584.7179814067,2020-05-18
2305010.4203086756,2326012.307587376,2334195.7957230173,2337866.9000459886,2353308.9597978014,2368924.936433315,2364354.589483305,2353348.6956984405,2358680.033402479,2020-05-19
6766854.281209509,6679078.397008904,6768016.649656132,6770716.4204028975,6771161.618733795,6766743.874444581,6773026.313897878,6763289.920207079,6685819.730658719,2020-05-20
13033804.293681614,12989878.424326863,13058491.12695598,13019525.266286558,12987757.402821913,13110778.211871339,13049570.289976146,13031614.004750773,13025634.562503824,2020-05-21
10065570.076994674,10118718.908556238,10183178.559994655,10078701.02741114,10032094.694490477,10170037.592050167,10067924.026125563,10052077.513310969,10172388.74257695,2020-05-22
3504293.390306297,3536085.588372448,3493421.766534502,3527353.1937163286,3505893.205935039,3536247.062075726,3546615.173279649,3512326.117549003,3512329.4894395154,2020-05-23
2969586.738833064,2969281.8120163083,2987274.455763841,2955918.9306572713,2960200.8735982515,2963614.5533620045,3001021.6887765536,2980168.444974032,2980313.8638626714,2020-05-24
7858242.285024803,7892905.137029257,7855525.732444708,7788187.860906767,7908999.657699209,7881568.897214022,7901888.032087457,7856427.570140544,7847583.4421083,2020-05-25
12219226.179609712,12228878.790974658,12281013.300155507,12123586.304924484,12175265.263545595,12273170.547779141,12296885.474496288,12263786.058054103,12193216.797505938,2020-05-26
1953178.2754871175,1985430.5510999584,1977080.0338812424,1932300.2775563654,1972802.6150034799,1979996.1215700847,1927464.0793596648,1945217.045223697,1926657.3595974795,2020-05-27
3784790.48057364,3818642.039045486,3803646.1344066057,3807580.1305888174,3799909.9474042556,3798835.545730519,3838810.579968066,3786404.3149405057,3777056.844029392,2020-05-28
4793251.618742901,4792535.850241148,4820346.109143514,4757667.302436144,4766289.160110558,4746215.756312974,4757357.683163651,4852501.278470806,4836367.447615902,2020-05-29
3528367.845561774,3542769.264027106,3470783.0907213697,3525306.7248852775,3501560.579688132,3500820.5347368885,3534199.8229444856,3531042.6139222067,3534936.158192395,2020-05-30
4404286.8779696245,4343299.31185809,4365345.461530205,4285790.521238704,4286354.977080491,4265616.497862472,4254194.010999363,4283501.423937308,4303260.503337519,2020-05-31
5635126.042836283,5583093.988104873,5618039.857773231,5657188.041388352,5555848.364948146,5602685.0716271205,5675279.6397866085,5600616.573286602,5535202.40860072,2020-06-01
1212809.1866468792,1216687.2708280429,1183316.061057054,1227955.6977140792,1197588.1540047065,1172085.203059034,1198397.3089998658,1186825.8456345215,1207380.5649241242,2020-06-02
3808020.471985314,3781333.632131245,3768003.9443760524,3787300.2103869524,3801292.7947438154,3880937.3369267546,3774874.4891566597,3801515.714628091,3764168.0931127053,2020-06-03
3412918.5942415423,3439603.3151964387,3402796.710503939,3422637.4482762394,3436643.747726967,3440334.2786888396,3411330.733902622,3370179.140801778,3414003.746976425,2020-06-04
10792815.262692086,10814765.203975657,10855794.262082163,10895066.250325164,10778183.642702444,10792209.648969002,10806486.694432072,10749384.573724542,10837955.34062419,2020-06-05
2757081.793246241,2654845.1952400263,2691626.762902592,2672263.628192841,2678810.6588342716,2672432.514303307,2682051.375020012,2725776.1167113883,2676797.3873143056,2020-06-06
13273954.821495518,13284920.114916854,13360526.122310821,13340760.663693698,13239450.513810618,13293896.51761813,13439761.811406324,13223259.122711278,13317099.117494456,2020-06-07
1867901.555403621,1894063.5622570836,1858610.1338076317,1903922.1721569896,1927190.8899663347,1881429.5395035364,1903182.7657609754,1862455.2661729539,1887746.6570948693,2020-06-08
830880.403074623,843990.3454463416,790103.4674708266,827678.1741293248,825533.0395631061,834992.2771992321,837570.8098784959,813443.8877801595,824978.7979750946,2020-06-09
1526190.0001708213,1537983.5941472354,1556261.127974376,1529885.9218895403,1561474.5891506658,1549659.8965511327,1520475.0143526634,1544158.9042585397,1546015.523200878,2020-06-10
4806853.679986577,4702591.678171554,4791298.342317246,4719177.986379227,4714274.4854968805,4735360.137177572,4747058.611046517,4680460.242546156,4718422.793020479,2020-06-11
1748919.5245276336,1731905.4179033707,1756105.1627624347,1771300.5385327435,1741477.200289898,1754373.8400940404,1725053.1150472257,1751575.5572286523,1754491.3287382892,2020-06-12
1690647.2089786916,1671831.5687378284,1762961.5370879918,1705481.8401088025,1729303.0982677238,1753987.0074170902,1690471.413135549,1696189.076169387,1710741.4296505018,2020-06-13
789910.3491785316,796572.9660575641,799920.5615103787,783870.4981645287,792952.0580409867,785914.5942782436,773756.4617524666,803198.1928044218,808486.2799399011,2020-06-14
2947141.9821712626,2917631.84204394,2924609.726879542,2949206.5363822626,2895756.534472473,2949141.56894538,2948464.7034529587,2914970.7517108475,2935432.268590275,2020-06-15
10051238.555460703,10070005.020613018,10107380.608886566,10095932.978849716,10076218.612569995,10149004.646749392,10097500.92153979,10073618.398620592,10099596.528844874,2020-06-16
3298359.4073410663,3316276.9546628427,3315428.4958668565,3373709.771612493,3341120.6159947007,3341622.578493586,3267802.0574477,3295578.273398256,3308236.5831354735,2020-06-17
