ones,euclidean,minkowski1,minkowski3,cityblock,cosine,chebyshev,mahalanobis,geodistance,solar
152.59618684324184,152.64301004065027,152.55316782168117,152.58964349804916,152.52131432771313,152.6559429608497,152.61340542562436,152.56171672920183,152.59396124262864,118_RTPV_2
175.97018005811387,176.06043560750473,176.11533755911162,175.98400375898785,175.98105134275656,175.91631202387666,175.947901825586,176.11539174828687,176.11714844072188,118_RTPV_3
149.73361881415275,149.84380170611996,149.8507131511735,149.8527842508399,149.72748540568804,150.0259530090364,149.7431202799245,149.7787498125767,149.80757926081444,118_RTPV_4
160.49635939742006,160.61485542553277,160.5132297872471,160.40531044042774,160.40284650964287,160.58217738758665,160.6176479048362,160.4949581449424,160.61424069857472,118_RTPV_5
156.05171730748722,156.05052529539583,156.09896362033334,156.04733225339177,156.02491518329862,156.18825095113192,156.15649198079248,156.03235406669774,156.10090496190475,118_RTPV_6
521.3555140356813,521.0898852041198,521.3007079071658,521.3783564458657,521.064749009654,521.2737558010426,521.80346186369,521.4970157849941,521.4738092353732,118_RTPV_7
539.5463394160876,539.6610355667607,540.0487214974748,539.3043651495169,539.124817197604,539.1279869691439,539.5984935769575,539.8242565035479,539.5460741773497,118_RTPV_8
383.37164473766563,383.7262645774257,383.539271457889,383.71058875428406,383.28208702608555,383.36529789304836,383.2883000333842,383.1522541680986,383.44298305617343,118_RTPV_9
7299.516355084624,7301.230328164748,7298.851845611795,7296.935800724045,7293.586058435332,7299.17920869055,7292.072727104037,7297.9233574136615,7293.0122933947,119_PV_1
368.0072519378026,368.1600970548832,368.2071417837922,368.20427594448836,367.8539618738047,367.91393342589424,368.124400101803,368.23872660963593,367.91449370424345,213_RTPV_1
79186.7603532185,79090.74432473548,79085.30369366927,79072.48552723644,79082.244306997,79054.14345052686,79115.25727609743,79155.67556349945,79100.91406233209,215_PV_1
34578.47404400073,34562.41808763313,34586.43002858195,34584.16805213137,34572.13085949532,34569.51441063653,34566.580588511075,34569.93966550299,34568.76378457215,308_RTPV_1
13079.75816731221,13079.192069998226,13082.138914316285,13070.202278718602,13074.21053272542,13076.740512961718,13075.17597692105,13073.721454082897,13074.548764470552,310_PV_1
12180.483468251632,12174.275349487758,12174.11437159109,12178.09208279124,12172.394511969658,12173.159009358731,12170.383947220904,12180.244146532588,12178.786604208199,310_PV_2
28782.112210215393,28770.94680110601,28768.857816608986,28762.516040760518,28768.195766104465,28757.873929849527,28757.45208395495,28773.89491748013,28788.595966018584,312_PV_1
31653.61860588736,31631.957543501532,31649.100678845465,31649.828813029897,31642.363927096798,31633.52356580559,31651.188535385936,31659.770324725378,31667.841675137155,313_PV_1
29086.311508980507,29088.791698082456,29101.502492312946,29089.538043617962,29088.90057411952,29095.822309636646,29112.529933912185,29090.626957739758,29101.523266417695,313_PV_2
33591.12337555387,33580.99828529151,33595.072297648985,33580.002266333504,33570.39846374015,33564.200697002205,33584.15910046111,33586.8405717821,33570.39348241898,313_RTPV_1
13325.319749922674,13317.870707254304,13320.119853367596,13322.97715066898,13326.473508003099,13321.944508838187,13316.940964876345,13323.358556959682,13314.905919445442,313_RTPV_10
14669.07294229878,14684.440136493347,14672.545786098002,14684.066953665913,14668.439583864836,14674.128801873308,14660.956683161688,14678.709808264946,14657.967563996364,313_RTPV_11
2285.3929412629905,2282.518103767731,2286.3626678940996,2284.5006309280516,2286.2177186853864,2286.201381600825,2285.7809366355973,2285.291478826858,2284.020738793454,313_RTPV_12
2348.1691350138094,2348.7656695242163,2346.2994227925274,2347.877717628492,2346.698859192407,2346.328378690403,2347.743642746464,2349.2480812844674,2347.137456809928,313_RTPV_13
17109.65286698967,17105.915154239858,17122.913350814466,17117.753826681863,17096.383254439334,17104.535809823275,17128.126729386076,17108.958987739523,17114.45336012219,313_RTPV_2
16324.427016129755,16326.75630503713,16325.125227531087,16318.854653976137,16329.289390687698,16322.187774439019,16323.5999081325,16328.04132519866,16328.388993723158,313_RTPV_3
16458.19466160579,16468.148874427305,16464.997327431913,16461.74357622485,16461.54918469273,16453.245426020967,16459.661298775987,16467.857008843897,16475.09479732279,313_RTPV_4
14882.771837511187,14904.011645697468,14909.737272186496,14902.399054920863,14902.640167085136,14903.56785974305,14899.948023278426,14904.2142278821,14901.512655553102,313_RTPV_5
14951.970222029791,14966.49198974776,14956.943743772063,14961.034640419708,14953.422822787565,14958.353630142981,14954.902026459633,14956.248098684056,14959.498879019666,313_RTPV_6
14800.390002232489,14784.84431593164,14796.368585590972,14797.554690446406,14789.19465128166,14791.954368386663,14796.732923668525,14810.37172660055,14798.052970217967,313_RTPV_7
13700.16723864668,13700.803029736357,13705.164584104641,13703.508087812053,13694.455848811082,13700.584884426007,13693.659423901305,13699.106121953717,13700.836898908063,313_RTPV_8
14136.489745283076,14133.403039794464,14136.780682605418,14125.835931076954,14138.281216112997,14130.558656786086,14140.689449847727,14130.095049059488,14130.73157846851,313_RTPV_9
12235.279527120894,12231.894832696855,12231.703414726375,12232.10136669096,12235.720195454087,12238.90519197621,12240.824698321763,12236.410034286067,12243.764679466261,314_PV_1
12488.237229429584,12493.408212594097,12487.295435954982,12491.52970383234,12498.524461637737,12500.63202445284,12494.605010504454,12488.278107906546,12492.431095020596,314_PV_2
29398.566113587345,29420.646892216715,29391.707101676166,29401.792153182298,29371.33509723807,29389.514181815604,29383.997528612956,29386.948728055653,29382.94713530834,314_PV_3
12173.39718194325,12182.244215080294,12181.366063596262,12181.16270840782,12183.0423606944,12184.42264556205,12180.965113812812,12180.131156147601,12172.035557520303,314_PV_4
181539.6721607661,181748.59944269108,181751.083330555,181624.36476448196,181609.2958298453,181601.40738548248,181655.15231860502,181677.35986996937,181633.8373271129,319_PV_1
13206.822069651807,13214.273248871616,13221.984109271652,13211.984511068007,13214.47225487151,13206.088595655,13213.268873436826,13208.346310116953,13224.922218693433,320_PV_1
2317.592518642096,2317.093617364591,2319.7074387916787,2317.514898972987,2318.0315947213558,2319.6072471582934,2318.3153867747546,2318.3109425659513,2318.5124629462352,320_RTPV_1
2143.068747227844,2139.650416368082,2141.447835143937,2141.490689686058,2142.508006526769,2141.6019295678752,2139.7728000227635,2141.6848034484246,2140.958034387914,320_RTPV_2
2316.0585281449244,2318.577632193965,2318.171484705743,2316.6555741749103,2317.194251547053,2317.308176568663,2317.0327250159335,2316.988255421951,2316.3820711030558,320_RTPV_3
2087.9185222119786,2085.668473106468,2089.015628415376,2087.5972008661975,2088.2171126048484,2088.18183013029,2086.849318221108,2086.211757667028,2086.593476276202,320_RTPV_4
2334.919289535885,2335.5280036003,2334.9112815068006,2335.801021440343,2336.084550031218,2335.034861159903,2334.427258047544,2336.4106984178165,2336.2189264789495,320_RTPV_5
173.84701109434877,173.8807185395614,174.07069340364538,174.03242885364648,173.84506932168267,173.8099300217848,173.8575060461442,173.97804338488402,173.94163561675109,320_RTPV_6
12152.567006623942,12151.678250605797,12159.872353938714,12155.326445514267,12155.024088658836,12155.098753154232,12159.909194258535,12155.396848639006,12156.63591674548,324_PV_1
12770.994573672562,12782.054882019029,12774.505907915114,12780.08881560633,12772.057541734988,12774.756634854888,12775.171663673798,12778.505239882867,12774.926116035631,324_PV_2
12501.356141157505,12491.59162557916,12495.413430343002,12502.707844471557,12497.28480326171,12494.049916463548,12490.69452798288,12492.64147669421,12489.093954689311,324_PV_3
